Training:   2%|▏         | 84/3906.0 [06:20<4:26:54,  4.19s/update, return=36.22, step=2.15e+7]
Training:   2%|▏         | 85/3906.0 [06:23<4:26:49,  4.19s/update, return=41.09, step=2.18e+7]
Training:   2%|▏         | 86/3906.0 [06:27<4:26:45,  4.19s/update, return=38.28, step=2.2e+7] 
Training:   2%|▏         | 87/3906.0 [06:31<4:26:41,  4.19s/update, return=33.74, step=2.23e+7]
Training:   2%|▏         | 88/3906.0 [06:35<4:26:37,  4.19s/update, return=37.40, step=2.25e+7]
Training:   2%|▏         | 89/3906.0 [06:39<4:25:54,  4.18s/update, return=37.40, step=2.25e+7]
Training:   2%|▏         | 89/3906.0 [06:39<4:25:54,  4.18s/update, return=34.84, step=2.28e+7]
Training:   2%|▏         | 90/3906.0 [06:43<4:25:50,  4.18s/update, return=37.63, step=2.3e+7] 
Training:   2%|▏         | 91/3906.0 [06:48<4:25:46,  4.18s/update, return=37.31, step=2.33e+7]
Training:   2%|▏         | 91/3906.0 [06:50<4:25:46,  4.18s/update, return=37.31, step=2.33e+7]
Training:   2%|▏         | 92/3906.0 [06:52<4:25:42,  4.18s/update, return=36.35, step=2.36e+7]
Training:   2%|▏         | 93/3906.0 [06:56<4:25:37,  4.18s/update, return=33.51, step=2.38e+7]
Training:   2%|▏         | 94/3906.0 [07:00<4:25:33,  4.18s/update, return=34.27, step=2.41e+7]
Training:   2%|▏         | 95/3906.0 [07:04<4:25:29,  4.18s/update, return=30.30, step=2.43e+7]
Training:   2%|▏         | 96/3906.0 [07:08<4:25:25,  4.18s/update, return=24.86, step=2.46e+7]
Training:   2%|▏         | 97/3906.0 [07:13<4:24:54,  4.17s/update, return=24.86, step=2.46e+7]
Training:   2%|▏         | 97/3906.0 [07:13<4:24:54,  4.17s/update, return=24.38, step=2.48e+7]
Training:   3%|▎         | 98/3906.0 [07:17<4:24:50,  4.17s/update, return=26.30, step=2.51e+7]
Training:   3%|▎         | 99/3906.0 [07:21<4:24:45,  4.17s/update, return=24.13, step=2.53e+7]
Training:   3%|▎         | 100/3906.0 [07:25<4:24:41,  4.17s/update, return=28.42, step=2.56e+7]
Training:   3%|▎         | 101/3906.0 [07:29<4:24:37,  4.17s/update, return=26.52, step=2.59e+7]
Training:   3%|▎         | 101/3906.0 [07:30<4:24:37,  4.17s/update, return=26.52, step=2.59e+7]
Training:   3%|▎         | 102/3906.0 [07:33<4:24:33,  4.17s/update, return=28.62, step=2.61e+7]
Training:   3%|▎         | 103/3906.0 [07:38<4:24:29,  4.17s/update, return=28.39, step=2.64e+7]
Training:   3%|▎         | 104/3906.0 [07:42<4:24:25,  4.17s/update, return=30.88, step=2.66e+7]
Training:   3%|▎         | 105/3906.0 [07:46<4:24:04,  4.17s/update, return=30.88, step=2.66e+7]
Training:   3%|▎         | 105/3906.0 [07:46<4:24:04,  4.17s/update, return=27.70, step=2.69e+7]
Training:   3%|▎         | 106/3906.0 [07:50<4:23:59,  4.17s/update, return=30.17, step=2.71e+7]
Training:   3%|▎         | 107/3906.0 [07:54<4:23:55,  4.17s/update, return=30.88, step=2.74e+7]
Training:   3%|▎         | 108/3906.0 [07:58<4:23:51,  4.17s/update, return=31.02, step=2.76e+7]
Training:   3%|▎         | 108/3906.0 [08:00<4:23:51,  4.17s/update, return=31.02, step=2.76e+7]
Training:   3%|▎         | 109/3906.0 [08:02<4:23:47,  4.17s/update, return=30.81, step=2.79e+7]
Training:   3%|▎         | 110/3906.0 [08:07<4:23:43,  4.17s/update, return=29.30, step=2.82e+7]
Training:   3%|▎         | 111/3906.0 [08:11<4:23:39,  4.17s/update, return=34.31, step=2.84e+7]
Training:   3%|▎         | 112/3906.0 [08:15<4:23:34,  4.17s/update, return=35.38, step=2.87e+7]
Training:   3%|▎         | 113/3906.0 [08:19<4:23:18,  4.17s/update, return=35.38, step=2.87e+7]
Training:   3%|▎         | 113/3906.0 [08:19<4:23:18,  4.17s/update, return=32.04, step=2.89e+7]
Training:   3%|▎         | 114/3906.0 [08:23<4:23:14,  4.17s/update, return=35.28, step=2.92e+7]
Training:   3%|▎         | 115/3906.0 [08:27<4:23:10,  4.17s/update, return=34.83, step=2.94e+7]
Training:   3%|▎         | 115/3906.0 [08:30<4:23:10,  4.17s/update, return=34.83, step=2.94e+7]
